Departemen Aktuaria 1 (Decimal('2020'), 6, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0417, 0.2625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 2 (Decimal('2020'), 7, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0417, 1.4511, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 3 (Decimal('2020'), 10, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0417, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 4 (Decimal('2020'), 11, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.037, 1.75, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 5 (Decimal('2020'), 12, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.037, 0.0105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 6 (Decimal('2020'), 13, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0324, 0.271, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 7 (Decimal('2020'), 14, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0324, 0.3675, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 8 (Decimal('2020'), 18, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0324, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 9 (Decimal('2020'), 19, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0324, 0.4975, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 10 (Decimal('2020'), 21, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0278, 0.0253, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 11 (Decimal('2020'), 24, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0231, 1.1505, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 12 (Decimal('2020'), 26, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0231, 0.3006, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Aktuaria 13 (Decimal('2020'), 27, 'AEA8C02A-6902-461F-9E5E-121964B46494', 0.0185, 3.8387, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
